design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 2015 Water Pollution Control and Prevention Action Plan (WPCAP) in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Electoral quotas (reserved legislative seats) for Scheduled Castes in Indian districts,,,
Quasi-experimental,Fixed effects (incl. DiD),Farmland transfer (the process of transferring farmland management/ownership to facilitate changes in agricultural production methods),,,
Qualitative,Other,"Value chain interventions aimed at improving women's economic empowerment in agricultural contexts, including approaches such as skills acquisition, improved agricultural inputs, and boosting women's participation in higher-value parts of the value chain.",,,
Experimental,Randomised controlled trial,Music intervention to alleviate perinatal depressive symptoms,,,
Qualitative,Other,"Various interventions addressing interpersonal violence among adolescents, primarily in educational settings, including programs targeting intimate partner violence, sexual violence, bullying, cyberbullying, and bystander interventions. The exact types of interventions are diverse as the study is a systematic review of reviews.",,,
Qualitative,Other,Digital health technology for HIV self-management among adolescents living with HIV in low- and middle-income countries,,,
Qualitative,Other,"A range of facility-based interventions aimed at reducing obstetric violence, including improved patient-provider communication skills, enhanced privacy measures, introduction of birth companions, and other strategies to improve respectful maternity care.",,,
Qualitative,Outcome harvesting,Educational interventions and multicomponent interventions to promote HPV vaccination,,,
Qualitative,Outcome harvesting,"Scoping review of delivery platforms for nutrition interventions targeting adolescents in LMICs (school-based programs, health facility–based services, social safety nets, community-based peer education, and technology-based platforms)",,,
Experimental,Randomised controlled trial,"Community health worker delivery and promotion of intermittent preventive treatment of malaria in pregnancy with sulfadoxine-pyrimethamine (IPTp-SP), including community sensitisation, engagement of husbands, and use of pre-established, trained, and supported community health worker networks.",,,
Experimental,Randomised controlled trial,"Social network-based distribution strategies for HIV self-testing kits (distribution by peers, partners, and peer educators)",,,
Qualitative,Other,"Intrapartum quality improvement (QI) interventions/packages at points of care (e.g., clinical protocols, staff training, improved monitoring during labor) aimed at reducing stillbirths and other adverse pregnancy outcomes.",,,
Qualitative,Other,"Implementation of metrological assurance systems for medical devices (using standards like ISO 10012, ISO 17025, national legislation) in healthcare institutions in Latin America",,,
Qualitative,Outcome harvesting,"Emergency infection prevention and control (IPC) training programmes for clinical staff in fragile, conflict-affected, or vulnerable (low-income/lower-middle-income) settings",,,
Experimental,Randomised controlled trial,"Menstrual hygiene management interventions, primarily including provision of menstrual products and menstrual education, aimed at improving schoolgirls’ menstrual hygiene experiences, school attendance, performance, dropout rates, knowledge, attitudes, and practices.",,,
Quasi-experimental,Other,"A review of interventions aimed at improving adolescent mental, sexual and reproductive health in West Africa, categorized as service access, quality and utilization; knowledge and information access; and intersectionality and social determinants. The review synthesizes findings from a range of studies employing various intervention strategies.",,,
Qualitative,Other,Non-specialist delivered psycho-social interventions (including psychoeducation and problem-solving techniques) for women with perinatal depression in rural communities,,,
Quasi-experimental,Instrumental variable estimation,Provision of China’s official finance (economic assistance) to African countries during armed conflicts,,,
Quasi-experimental,Fixed effects (incl. DiD),Analysis of the impact of double tax relief methods and tax-sparing provisions in double tax treaties on FDI flows and domestic tax policies in developing countries,,,
Experimental,Randomised controlled trial,Combination intervention aimed at improving family cohesion to prevent child labor and school dropout among Ghanaian adolescent girls,,,
Experimental,Randomised controlled trial,Implementation of the Strengthening Families Program (SFP 10–14) adapted as Famílias Fortes in Brazilian Social Assistance Reference Centers,,,
Quasi-experimental,Statistical matching,"Regional business acceleration program with public funding for new ventures in Medellin, Colombia",,,
Quasi-experimental,Interrupted time series analysis,Algae Monitoring and control program in Qingcaosha Reservoir,,,
Quasi-experimental,Fixed effects (incl. DiD),Poverty Alleviation Relocation Program (PARP),,,
Quasi-experimental,Fixed effects (incl. DiD),"Government interventions during COVID-19 (e.g., partial and full lockdown measures) in Lagos Metropolis",,,
Experimental,Randomised controlled trial,"Personalized SMS messages highlighting specific monetary savings goals, compared to standard reminders, sent to underbanked individuals to incentivize saving behavior",,,
Experimental,Randomised controlled trial,"Financial (monetary reward) and nonfinancial (official recognition) incentives for government agricultural extension agents, with additional variations based on performance selection for inspection and rewards.",,,
Quasi-experimental,Statistical matching,Provision of fishery credit to fish farming communities by NGOs,,,
Quasi-experimental,Instrumental variable estimation,"Farm machinery outsourcing services (FMOS), with a focus on fertilizer application services",,,
Quasi-experimental,Fixed effects (incl. DiD),"Increase in the minimum working age from 14 to 15, introduction of restrictions and stricter penalties for employing underage individuals in Mexico in 2015.",,,
Quasi-experimental,Fixed effects (incl. DiD),"National Agricultural Input Voucher Scheme (NAIVS), a smart input subsidy program distributing agricultural input vouchers to farmers in Tanzania",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the soybean and cotton target price subsidy policy (TPP) for rural households in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Subsidized Rice Program (Raskin) and Conditional Cash Transfer Program (PKH) provided to poor Indonesian households,,,
Experimental,Randomised controlled trial,WSHG-based seed interventions promoting the adoption of improved varieties and seed quality practices among farmers,,,
Experimental,Randomised controlled trial,Online safety education program for junior high school students,,,
Quasi-experimental,Regression discontinuity design,Government protection of forested land (designation of protected areas),,,
Experimental,Randomised controlled trial,"Delivery of the PICHA7 WASH pictorial module by a health promoter and provision of a soapy water bottle to diarrhea patients and their attendants in healthcare facilities, compared to standard WASH messaging.",,,
