design,method,intervention
Quasi-experimental,Fixed effects (incl. DiD),Public food procurement through Brazil's Food Acquisition Program (PAA)
Quasi-experimental,Statistical matching,Community savings groups provided to women in coastal fishing villages
Quasi-experimental,Instrumental variable estimation,Job reservation policies in Indian public sector enterprises
Quasi-experimental,Regression discontinuity design,Change in Bolsa Família benefit formula increasing cash transfers to large families
Experimental,Randomised controlled trial,Training refugee women to volunteer as community reading facilitators
Quasi-experimental,Fixed effects (incl. DiD),"Reopening of the Venezuela-Colombia border, enabling increased transit migration"
Quasi-experimental,Difference-in-Differences,Mexican government ban on domestic outsourcing in 2021
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a county-based poverty reduction policy in poor counties
Quasi-experimental,Statistical matching,Group-based parenting curriculum with 12 weekly sessions for refugee caregivers
Quasi-experimental,Instrumental variable estimation,Changes in pension policy including retirement age and benefit eligibility rules
Experimental,Randomised controlled trial,Multicomponent hand hygiene support in facilities lacking functional water supply
Experimental,Randomised controlled trial,Business training program for residents of Brazilian favelas
Quasi-experimental,Statistical matching,Conditional cash transfers to pregnant women for healthcare access
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Odd-Even Road Rationing Policy in Jakarta
Quasi-experimental,Fixed effects (incl. DiD),Official dollarization of Ecuador and El Salvador
Quasi-experimental,Fixed effects (incl. DiD),Tax audits conducted on businesses by the revenue authority
Experimental,Randomised controlled trial,Participatory food safety training and tool supply for chicken vendors
Quasi-experimental,Fixed effects (incl. DiD),Changes to personal wealth tax rates and structure in Colombia
Quasi-experimental,Instrumental variable estimation,Fair-trade certification for social and solidarity economy organizations
Quasi-experimental,Fixed effects (incl. DiD),Participation in social pension insurance by urban and rural households
Experimental,Randomised controlled trial,Providing firms information on tenders and anti-corruption efforts via Randomised controlled trials
Quasi-experimental,Fixed effects (incl. DiD),Inner-city road redesign and improvement project in Bangalore
Quasi-experimental,Instrumental variable estimation,Increase in minimum wage levels in Peru between 2004 and 2019
Experimental,Randomised controlled trial,Videos providing information on local natural resource revenue management to citizens
Quasi-experimental,Fixed effects (incl. DiD),Enacting and enforcing criminal laws that prohibit domestic violence
Quasi-experimental,Fixed effects (incl. DiD),WORTH Yetu economic empowerment for OVC caregivers in Tanzania
Experimental,Randomised controlled trial,In-person campaign appeals offering policy information and emotional engagement activities
Quasi-experimental,Instrumental variable estimation,Input subsidy cards and agricultural extension services for rice farmers
Quasi-experimental,Fixed effects (incl. DiD),Provision of Dibao cash transfers to low-income households in China
Quasi-experimental,Statistical matching,Implementation of participatory guarantee system certification for organic vegetable farmers
Quasi-experimental,Other,Provision of subsidized fertilizer to farmers through an input subsidy program
Quasi-experimental,Regression discontinuity design,Increased intergovernmental fiscal transfers to Brazilian municipalities via FPM formula thresholds
Experimental,Randomised controlled trial,Provision of water-efficient technologies to households
Experimental,Randomised controlled trial,Environmental health education sessions for ninth-grade students
Qualitative,Other,"Counter-wildlife crime interventions addressing illegal harvest, trade, and poaching"
Quasi-experimental,Other,mHealth tools for reminders and digital support targeting maternal and child healthcare
Qualitative,Other,Strengthening links between community members and health facilities to improve child health
Quasi-experimental,Other,Programs aiming to reduce stigma related to health and identities in LMICs
Qualitative,Other,Coordinated prevention and response programmes for IPV and VAC by parents or caregivers
Other,Other,Agricultural interventions to improve food security and nutrition in emergencies
Other,Other,Person-centred care interventions to enhance patient−provider interactions in HIV services
Qualitative,Other,Community-based participatory arts interventions for nurturing care in young children
Other,Other,Center-based childcare programs for young children
Other,Other,Mindfulness-Based Cognitive Therapy sessions for postpartum women
Other,Other,Community-based DOT compared to health facility-based DOT for tuberculosis treatment
Qualitative,Other,Removal of government price subsidies on food and energy products
Other,Other,"Education support interventions for adolescent girls, including reducing schooling costs"
Qualitative,Other,Psychotherapy for children and adolescents exposed to interpersonal violence in Latin America
Qualitative,Other,Livestock development projects with varying gender approaches in LMICs
Quasi-experimental,Other,Mass antibiotic treatment for STIs in high prevalence populations
Experimental,Randomised controlled trial,Targeted administration of antimalarial drugs to high-risk groups
Qualitative,Other,Nutritional education programs targeting Asian adolescents
Quasi-experimental,Fixed effects (incl. DiD),Respectful maternity care training for healthcare providers
Quasi-experimental,Other,Telemedicine support for HIV-positive mothers in PMTCT programs
Experimental,Randomised controlled trial,Sexual and reproductive health empowerment programs for adolescent girls and young women
Other,Other,Reviewing community-based interventions addressing adolescent malnutrition in LMICs
Experimental,Randomised controlled trial,"Psychological therapies, primarily cognitive-behavioural therapy, for disaster survivors"
Quasi-experimental,Other,School-based oral health education for children and adolescents
Quasi-experimental,Other,Introduction or expansion of health insurance in low- and lower-middle-income countries
Experimental,Randomised controlled trial,Provision of iron-fortified foods to school-age children
Qualitative,Other,Review of evidence on transformational change in energy and public health sectors
Experimental,Randomised controlled trial,Targeted malaria testing and treatment of high-risk populations
